,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,citrus fruit,margarine,ready soups,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cream cheese,meat spreads,pip fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,condensed milk,long life bakery product,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,abrasive cleaner,butter,rice,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UHT-milk,bottled beer,liquor (appetizer),other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,cereals,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,bottled water,chocolate,other vegetables,tropical fruit,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,bottled water,butter,citrus fruit,curd,dishes,flour,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
12,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,butter,fruit/vegetable juice,newspapers,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,cream cheese,detergent,newspapers,processed cheese,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,bathroom cleaner,candy,flour,frozen dessert,other vegetables,rolls/buns,root vegetables,salty snack,sweet spreads,tropical fruit,waffles,,,,,,,,,,,,,,,,,,,,,
25,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,chocolate,rolls/buns,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,brown bread,canned beer,fruit/vegetable juice,newspapers,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
30,beverages,bottled water,specialty bar,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,bottled water,hamburger meat,hygiene articles,napkins,other vegetables,rolls/buns,spices,,,,,,,,,,,,,,,,,,,,,,,,,
